price,ad_title,href,location,square_meter,owner,real_estate_firm,id,img_href
"6 000 000,-","Skistua - Stor og påkostet selveierleilighet  med 3 soverom 2 garasjeplasser, stor terrasse, 3 soverom, vannbåren gulvvarme",https://www.finn.no/realestate/homes/ad.html?finnkode=132570796,"Skistua 4, Narvik",131 m²,Eier (Selveier),Eiendomsmegler 1 Narvik,132570796,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/6/132/570/796_573608493.jpg
"2 250 000,-","FOLKENBORG - Praktisk enebolig med 4 soverom og alt på ett plan | Solrik terrasse og fin, usjenert hage | Garasje | Barnevennlig",https://www.finn.no/realestate/homes/ad.html?finnkode=132569404,"Myreneveien 2, Mysen",119 m²,Andel,DNB Eiendom AS,132569404,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/4/132/569/404_1003474912.jpg
"10 500 000,-",Kolsås - Flott beliggende enebolig med unik utsikt og gode solforhold - Stor terrasse - 5 soverom - 2 garasjeplasser,https://www.finn.no/realestate/homes/ad.html?finnkode=132570380,"Toppåsveie 24 D, Kolsås",260 m²,Eier (Selveier),Eie Eiendomsmegling Kolsås/Sandvika,132570380,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/0/132/570/380_1798231250.jpg
"4 190 000,-",Nordre Jarlsberg Brygge - Meget bra beliggende 3 - roms - Høyt og fritt med fin fjordutsikt - Gode solforhold - 2 terrasser - Heis - Garasjeplass!,https://www.finn.no/realestate/homes/ad.html?finnkode=123263597,"Laboratorieveien 8, Sande i Vestfold",67 m²,Eier (Selveier),Eiendomsmegler Dahl AS,123263597,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/7/123/263/597_135062678.jpg
"6 800 000 - 7 200 000,-","Vardane - To prosjekterte eneboliger med høy standard,  solrik beliggenhet og fantastisk sjøutsikt i barnevennlig område",https://www.finn.no/realestate/newbuildings/ad.html?finnkode=132570150&page=13,"Vardane, Erdal",175 m²,Eier (Selveier),Eiendomsmegler Vest,132570150,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/0/132/570/150_1174411489.jpg
"1 850 000,-",Pen og praktisk leilighet uten trapper. Solrik uteplass og garasje,https://www.finn.no/realestate/homes/ad.html?finnkode=132570137,"Frolandssenteret 6K, Froland",60 m²,Eier (Selveier),Meglerhuset & Partners,132570137,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/7/132/570/137_1863695017.jpg
"3 390 000,-",Bjølsen - Pen 2-roms med vestvendt balkong. Gode solforhold. Mulighet for parkering. Varmtvann og fyring inkl. Flott beliggenhet.,https://www.finn.no/realestate/homes/ad.html?finnkode=132289849,"Maridalsveien 233 B, Oslo, Sagene - Torshov",40 m²,Andel,BN Bolig AS,132289849,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/9/132/289/849_570382056.jpg
"3 850 000,-",St.Hanshaugen: Unik 2-roms loftsleilighet - 45 kvm gulvareal - eksklusivt bad - peis - lave felleskostnader - VV inkl,https://www.finn.no/realestate/homes/ad.html?finnkode=132554847,"Waldemar Thranes gate 24, Oslo, St.Hanshaugen - Ullevål",41 m²,Eier (Selveier),Nordvik St.Hanshaugen,132554847,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/7/132/554/847_1868646045.jpg
"3 990 000,-","VOKSEN SKOG/HOLMENKOLLEN - HOLMENKOLLEN | Lys & romslig 2,5-roms på Holmenkollens solside | Parkering | Stor solrik balkong | Ingen dok. avgift!",https://www.finn.no/realestate/homes/ad.html?finnkode=132509219,"Olaf Bulls vei 10 B, Oslo, Røa",84 m²,Andel,DNB Eiendom AS,132509219,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/9/132/509/219_1282418163.jpg
"4 990 000,-","BARNEVENNLIG OG VELHOLDT PÅ KONNERUD - Enebolig med 4 soverom, 2 stuer , 2 bad og dobbeltgarasje!",https://www.finn.no/realestate/homes/ad.html?finnkode=129255445,"Trommeveien 24, Drammen",147 m²,Eier (Selveier),Meglerhuset & Partners Drammen,129255445,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/5/129/255/445_2099368940.jpg
